bearID,Seal,Beluga,Walrus,Bodycond,Sex,Ageclass,Year,Era,Region,Lat,Long
BEAR0001,54.58,43.32,2.1,85.38,F,Subadult,2002,Mid,Central,71.03,-118.3
BEAR0002,60.38,33.73,5.89,65.55,M,Adult,2002,Mid,Central,71.52,-119.48
BEAR0003,54.92,39.07,6.01,75.3,M,Subadult,2002,Mid,Central,70.27,-117.32
BEAR0005,82.06,9.01,8.94,80.3,F,Subadult,2002,Mid,West,70.25,-131.1
BEAR0006,56.66,43.33,0,81.97,M,Subadult,2002,Mid,West,69.75,-132.3
BEAR0008,74.44,13.6,11.97,91.06,M,Adult,2002,Mid,West,70.62,-128.3
BEAR0009,65.93,5.8,28.26,85.07,M,Adult,2002,Mid,West,70.72,-128.18
BEAR0011,40.12,48.68,11.19,84.21,F,Adult,2002,Mid,West,69.77,-135.47
BEAR0012,28.09,71.91,0,73.62,M,Adult,2002,Mid,West,70.63,-128.23
BEAR0013,46.27,25.21,28.52,90.73,M,Adult,2002,Mid,West,70.63,-128.23
BEAR0014,63.07,27.73,9.2,77.08,F,Adult,2002,Mid,West,69.98,-134.27
BEAR0015,45.03,52.76,2.2,86.4,F,Adult,2002,Mid,West,70.62,-128
BEAR0020,85.25,0,14.75,81.88,M,Adult,2002,Mid,Central,71.1,-122.46
BEAR0022,34.7,53.87,11.44,77.5,M,Subadult,2002,Mid,Central,71.93,-126
BEAR0023,85.83,0,14.17,80.07,M,Adult,2002,Mid,Central,71.93,-125.93
BEAR0024,50.15,42.98,6.86,69.26,M,Subadult,2002,Mid,Central,71.17,-122.58
BEAR0030,56.17,36.51,7.32,71.83,M,Cub,2002,Mid,West,69.95,-122.93
BEAR0033,44.96,54.61,0.42,78.7,M,Subadult,2002,Mid,Central,70.25,-117.27
BEAR0035,77.35,16.84,5.81,70.86,F,Adult,2002,Mid,Central,71.57,-120
BEAR0036,46.01,51.8,2.19,84.83,F,Adult,2002,Mid,Central,71.2,-119.4
BEAR0039,46.06,52.95,0.99,61.9,M,Adult,2002,Mid,Central,71.33,-121.03
BEAR0064,29.28,70.72,0,71.65,M,Subadult,2006,Mid,Central,70.65,-117.72
BEAR0065,88.76,5.9,5.34,91.45,M,Adult,2001,Early,Central,72.67,-124.65
BEAR0066,70.31,28.85,0.84,91.33,F,Adult,2001,Early,Central,72.92,-125.08
BEAR0066,60.26,38.9,0.84,66.72,M,Subadult,2006,Mid,Central,70.73,-117.72
BEAR0067,33.51,66.49,0,96.04,F,Subadult,2001,Early,Central,71.12,-122.07
BEAR0067,36.85,61.56,1.59,78.52,F,Subadult,2006,Mid,Central,71.7,-125.07
BEAR0068,53.06,46.94,0,74.58,F,Adult,2006,Mid,Central,71.84,-125.18
BEAR0069,35.44,62.92,1.63,82.31,F,Subadult,2006,Mid,Central,71.92,-125.31
