bearID,Seal,Beluga,Walrus,Year,Era,Region,Bodycond,Lat,Long,Sex,Ageclass
BEAR0225,22.87,71.78,5.35,2000,Early,Central,66.18,70.52,-122.98,M,Adult
BEAR0327,77.96,15.12,6.92,2000,Early,Central,71.33,70.56,-122.47,M,Adult
BEAR0194,54.83,44.7,0.48,2000,Early,Central,71.61,71.97,-125.37,M,Adult
BEAR0306,65.16,33.96,0.89,2000,Early,Central,72.08,71.22,-118.12,M,Subadult
BEAR0312,58.78,36.93,4.29,2000,Early,Central,74.65,70.97,-121.75,M,Adult
BEAR0226,72.25,18.34,9.41,2000,Early,Central,76.06,70.60,-123.30,M,Adult
BEAR0326,63.1,34.16,2.73,2000,Early,Central,77.58,71.20,-122.17,M,Adult
BEAR0072,45.33,47.26,7.4,2001,Early,Central,56.95,70.50,-117.35,M,Adult
BEAR0074,43.55,54.25,2.2,2001,Early,Central,62.24,69.82,-117.80,F,Adult
BEAR0070,87.62,0.36,8.01,2001,Early,Central,68.94,69.73,-118.05,F,Adult
BEAR0093,53.67,42.34,3.98,2001,Early,Central,70.66,72.92,-125.17,M,Cub
BEAR0076,39.59,58.47,1.94,2001,Early,Central,78.57,70.35,-117.37,F,Adult
BEAR0088,33.52,66.23,0.25,2001,Early,Central,81.44,70.47,-117.52,F,Subadult
BEAR0073,67.25,26.77,5.98,2001,Early,Central,81.79,71.25,-118.08,M,Adult
BEAR0084,50.91,40.91,8.18,2001,Early,Central,85.49,70.18,-125.50,M,Adult
BEAR0094,52.8,43.45,3.75,2001,Early,Central,88.28,72.75,-125.33,F,Subadult
BEAR0082,71.37,15.06,10.93,2001,Early,Central,89.16,70.40,-125.12,M,Adult
BEAR0066,70.31,28.85,0.84,2001,Early,Central,91.33,72.92,-125.08,F,Adult
BEAR0087,44.97,49.72,5.31,2001,Early,Central,91.34,70.30,-117.47,F,Subadult
BEAR0065,88.76,5.9,5.34,2001,Early,Central,91.45,72.67,-124.65,M,Adult
BEAR0067,33.51,66.49,0,2001,Early,Central,96.04,71.12,-122.07,F,Subadult
BEAR0039,46.06,52.95,0.99,2002,Mid,Central,61.90,71.33,-121.03,M,Adult
BEAR0002,60.38,33.73,5.89,2002,Mid,Central,65.55,71.52,-119.48,M,Adult
BEAR0024,50.15,42.98,6.86,2002,Mid,Central,69.26,71.17,-122.58,M,Subadult
BEAR0035,77.35,16.84,5.81,2002,Mid,Central,70.86,71.57,-120.00,F,Adult
BEAR0003,54.92,39.07,6.01,2002,Mid,Central,75.30,70.27,-117.32,M,Subadult
BEAR0022,34.7,53.87,11.44,2002,Mid,Central,77.50,71.93,-126.00,M,Subadult
BEAR0033,44.96,54.61,0.42,2002,Mid,Central,78.70,70.25,-117.27,M,Subadult
BEAR0023,85.83,0,14.17,2002,Mid,Central,80.07,71.93,-125.93,M,Adult
BEAR0020,85.25,0,14.75,2002,Mid,Central,81.88,71.10,-122.46,M,Adult
BEAR0036,46.01,51.8,2.19,2002,Mid,Central,84.83,71.20,-119.40,F,Adult
BEAR0001,54.58,43.32,2.1,2002,Mid,Central,85.38,71.03,-118.30,F,Subadult
BEAR0083,80,0,20,2002,Mid,Central,85.66,69.58,-120.72,M,Adult
BEAR0278,17.7,82.3,0,2003,Mid,Central,67.05,71.93,-125.88,F,Cub
BEAR0263,44.12,55.28,0.6,2003,Mid,Central,69.98,70.62,-117.68,F,Subadult
BEAR0230,71.25,21.77,6.97,2003,Mid,Central,73.93,70.42,-122.17,F,Adult
BEAR0229,36.39,59.17,4.43,2003,Mid,Central,76.30,69.89,-120.23,M,Adult
BEAR0266,69.04,24.91,4.83,2003,Mid,Central,76.97,71.22,-122.38,F,Adult
BEAR0276,38.44,61.34,0.23,2003,Mid,Central,79.90,72.12,-125.41,F,Adult
BEAR0258,26.26,73.73,0,2003,Mid,Central,80.77,71.99,-125.22,M,Subadult
BEAR0277,60.65,39.14,0.21,2003,Mid,Central,81.90,72.87,-125.15,M,Adult
BEAR0275,34.75,34.9,30.35,2003,Mid,Central,82.73,70.19,-130.94,M,Adult
BEAR0280,51.41,48.37,0.21,2003,Mid,Central,83.02,72.00,-126.00,M,Adult
BEAR0279,45.2,54.8,0,2003,Mid,Central,86.22,71.03,-122.13,M,Subadult
BEAR0398,39.06,51.4,9.55,2004,Mid,Central,72.28,71.30,-121.97,M,Adult
BEAR0397,63.38,36.63,0,2004,Mid,Central,74.57,71.33,-121.97,F,Cub
BEAR0390,62.3,34.22,3.48,2004,Mid,Central,75.69,71.25,-121.00,M,Adult
BEAR0412,31.95,68.05,0,2004,Mid,Central,78.17,71.22,-122.47,F,Subadult
BEAR0413,84.8,10.17,5.04,2004,Mid,Central,79.33,71.85,-125.18,M,Adult
BEAR0410,35.01,64.99,0,2004,Mid,Central,82.18,71.22,-122.37,M,Adult
BEAR0391,65.79,28,6.21,2004,Mid,Central,82.99,71.35,-117.88,M,Cub
BEAR0387,35.36,60.85,3.79,2004,Mid,Central,83.57,71.00,-119.00,M,Subadult
BEAR0299,87.91,0,12.09,2005,Mid,Central,74.63,71.54,-119.14,M,Adult
BEAR0293,42.28,57.72,0,2005,Mid,Central,78.90,71.27,-120.25,F,Cub
BEAR0295,69.1,28.17,2.74,2005,Mid,Central,81.14,71.42,-118.49,M,Adult
BEAR0296,90.1,7.48,2.42,2005,Mid,Central,83.33,71.54,-119.14,F,Adult
BEAR0301,39.88,60.12,0,2005,Mid,Central,84.97,70.63,-117.42,M,Cub
BEAR0297,71.45,28.55,0,2005,Mid,Central,96.01,71.54,-119.14,F,Cub
BEAR0072,50.64,43.07,6.29,2006,Mid,Central,60.60,70.62,-117.18,F,Adult
BEAR0070,88.61,3.99,7.41,2006,Mid,Central,66.04,71.88,-125.24,M,Adult
BEAR0066,60.26,38.9,0.84,2006,Mid,Central,66.72,70.73,-117.72,M,Subadult
BEAR0509,62.15,35.72,2.12,2006,Mid,Central,69.06,71.68,-124.72,M,Subadult
BEAR0064,29.28,70.72,0,2006,Mid,Central,71.65,70.65,-117.72,M,Subadult
BEAR0545,82.08,2.75,15.17,2006,Mid,Central,72.86,71.48,-124.59,M,Adult
BEAR0068,53.06,46.94,0,2006,Mid,Central,74.58,71.84,-125.18,F,Adult
BEAR0073,62.96,30.67,6.36,2006,Mid,Central,75.13,70.10,-117.17,F,Adult
BEAR0518,37.2,62.8,0,2006,Mid,Central,77.39,70.33,-117.25,M,Cub
BEAR0075,31.92,61.96,6.12,2006,Mid,Central,77.60,71.58,-119.92,F,Adult
BEAR0074,58.84,38.81,2.35,2006,Mid,Central,78.22,70.62,-117.18,M,Adult
BEAR0067,36.85,61.56,1.59,2006,Mid,Central,78.52,71.70,-125.07,F,Subadult
BEAR0544,31.3,61.55,7.15,2006,Mid,Central,78.69,71.87,-125.25,M,Subadult
BEAR0515,30.96,69.04,0,2006,Mid,Central,82.11,70.90,-118.22,M,Adult
BEAR0069,35.44,62.92,1.63,2006,Mid,Central,82.31,71.92,-125.31,F,Subadult
BEAR0522,62.56,29.48,7.95,2006,Mid,Central,82.43,70.57,-117.35,M,Adult
BEAR0521,43.16,56.84,0,2006,Mid,Central,83.32,70.57,-117.40,F,Subadult
BEAR0231,20.83,79.17,0,2006,Mid,Central,83.60,69.95,-122.96,F,Adult
BEAR0511,62.83,34.92,2.25,2006,Mid,Central,84.23,71.85,-125.08,M,Subadult
BEAR0506,36.4,59.47,4.13,2006,Mid,Central,84.54,71.70,-124.80,M,Adult
BEAR0505,52.45,43.8,3.75,2006,Mid,Central,85.62,71.69,-124.77,M,Adult
BEAR0559,29.68,69.71,0.62,2006,Mid,Central,86.26,71.98,-125.32,F,Adult
BEAR0512,69.71,14.31,15.98,2006,Mid,Central,87.62,71.83,-125.05,M,Adult
BEAR0520,31.6,68.4,0,2006,Mid,Central,87.66,70.33,-120.02,M,Subadult
BEAR0503,44.4,55.58,0.01,2006,Mid,Central,92.34,71.18,-122.54,M,Subadult
BEAR0516,68.34,27.89,3.78,2006,Mid,Central,94.01,71.58,-120.58,M,Subadult
BEAR0504,54.92,43.69,1.39,2006,Mid,Central,96.43,71.69,-124.76,M,Adult
BEAR0526,61,34.11,4.89,2007,Mid,Central,56.84,70.78,-117.95,F,Subadult
BEAR0470,77.4,3.56,5.53,2007,Mid,Central,58.58,70.32,-117.50,M,Adult
BEAR0532,74.15,13.02,6.09,2007,Mid,Central,59.03,70.38,-117.75,M,Adult
BEAR0465,44.6,49.71,5.69,2007,Mid,Central,59.41,70.58,-122.98,M,Subadult
BEAR0523,58.91,37.18,3.92,2007,Mid,Central,69.47,70.33,-123.67,F,Adult
BEAR0463,37.76,61.01,1.23,2007,Mid,Central,71.03,70.33,-125.67,M,Subadult
BEAR0536,62.31,36.45,1.24,2007,Mid,Central,74.52,72.07,-126.22,M,Cub
BEAR0533,44.84,53.26,1.9,2007,Mid,Central,75.16,71.94,-125.93,M,Adult
BEAR0469,30.54,69.46,0,2007,Mid,Central,75.90,70.20,-117.72,M,Adult
BEAR0247,13.52,86.48,0,2007,Mid,Central,77.11,70.48,-117.30,F,Subadult
BEAR0524,51.93,44.93,3.14,2007,Mid,Central,78.52,70.33,-123.75,F,Subadult
BEAR0235,41.13,46.47,12.39,2007,Mid,Central,78.87,70.57,-123.57,M,Subadult
BEAR0248,76.26,19.68,4.07,2007,Mid,Central,78.91,72.02,-126.15,M,Subadult
BEAR0464,77.22,16.87,5.9,2007,Mid,Central,78.95,70.50,-124.33,M,Adult
BEAR0246,60.24,35.41,4.34,2007,Mid,Central,79.11,71.19,-122.56,M,Subadult
BEAR0355,50.75,46.96,2.29,2008,Late,Central,84.41,71.37,-121.03,M,Cub
BEAR0363,30.59,68.78,0.63,2008,Late,Central,85.45,71.08,-120.33,F,Subadult
BEAR0353,33.3,66.51,0.18,2008,Late,Central,85.90,71.07,-120.67,F,Subadult
BEAR0182,43.64,54.09,2.27,2008,Late,Central,87.27,72.01,-125.47,M,Subadult
BEAR0351,23.87,75.45,0.67,2008,Late,Central,87.74,70.12,-124.35,M,Adult
BEAR0186,55.28,44.72,0,2008,Late,Central,89.34,71.30,-118.98,M,Adult
BEAR0185,44.51,55.49,0,2008,Late,Central,90.98,71.98,-125.25,M,Subadult
BEAR0479,60.4,33.08,6.52,2009,Late,Central,63.30,70.33,-117.42,M,Cub
BEAR0550,82.21,0,17.79,2009,Late,Central,67.57,69.85,-122.72,M,Adult
BEAR0558,51.02,48.98,0,2009,Late,Central,86.69,74.07,-111.60,M,Adult
BEAR0548,30.91,69.09,0,2009,Late,Central,87.86,71.37,-120.75,M,Subadult
BEAR0490,25.91,73.76,0.34,2009,Late,Central,92.07,69.90,-123.32,F,Subadult
BEAR0557,78.22,20.93,0.85,2009,Late,Central,92.23,74.38,-112.93,M,Adult
BEAR0477,50.84,43.57,5.59,2009,Late,Central,93.68,70.33,-117.35,M,Cub
BEAR0492,30.71,66.61,2.68,2009,Late,Central,97.96,71.99,-125.25,M,Cub
BEAR0448,89.54,2.67,7.79,2010,Late,Central,74.20,71.92,-126.21,M,Adult
BEAR0399,52.05,47.95,0,2004,Mid,North,63.32,73.25,-115.75,F,Cub
BEAR0401,57.31,42.69,0,2004,Mid,North,77.13,73.35,-115.07,F,Cub
BEAR0078,60.03,39.17,0.81,2006,Mid,North,78.45,72.78,-110.67,F,Adult
BEAR0076,57.09,40.91,2.01,2006,Mid,North,85.37,72.70,-110.55,F,Adult
BEAR0574,70.56,29.44,0,2007,Mid,North,67.22,73.51,-108.36,M,Subadult
BEAR0577,78.72,13.15,1.79,2007,Mid,North,69.17,74.70,-109.22,F,Adult
BEAR0579,54.34,45.66,0,2007,Mid,North,72.39,73.52,-111.33,M,Subadult
BEAR0581,80.91,17.2,1.88,2007,Mid,North,73.44,73.51,-108.36,F,Adult
BEAR0582,90.56,0,9.45,2007,Mid,North,73.75,74.96,-115.04,M,Adult
BEAR0575,63.23,36.34,0.43,2007,Mid,North,74.49,76.00,-118.62,M,Cub
BEAR0587,70,30.01,0,2008,Late,North,57.71,74.42,-111.94,M,Adult
BEAR0377,54.41,45.59,0,2008,Late,North,65.86,73.12,-112.81,M,Adult
BEAR0376,94.83,0,5.18,2008,Late,North,68.63,73.55,-114.82,F,Adult
BEAR0578,71.36,26.42,2.21,2008,Late,North,70.21,75.23,-117.61,M,Adult
BEAR0586,74.36,25.27,0.39,2008,Late,North,71.01,74.41,-112.52,M,Adult
BEAR0584,96.74,0,3.26,2008,Late,North,80.63,75.23,-117.62,M,Adult
BEAR0585,28.67,71.33,0,2008,Late,North,81.79,75.48,-117.22,M,Adult
BEAR0379,34.17,64.71,1.12,2008,Late,North,82.26,73.55,-114.82,M,Cub
BEAR0565,44.57,55.43,0,2009,Late,North,61.42,74.20,-111.90,F,Adult
BEAR0560,89.32,4.03,6.65,2009,Late,North,65.39,74.84,-108.44,M,Adult
BEAR0564,57.92,39.51,2.56,2009,Late,North,67.01,74.63,-108.04,F,Adult
BEAR0571,93.05,0,6.95,2009,Late,North,74.66,72.98,-113.35,F,Adult
BEAR0567,44.49,55.51,0,2009,Late,North,76.97,74.89,-107.08,M,Adult
BEAR0563,34.56,65.44,0,2009,Late,North,80.32,74.40,-107.21,F,Adult
BEAR0572,29.36,70.64,0,2009,Late,North,90.73,74.64,-115.86,F,Subadult
BEAR0195,32.31,67.7,0,2000,Early,West,57.43,69.87,-122.80,F,Subadult
BEAR0196,74.09,17.49,8.42,2000,Early,West,69.30,69.78,-123.33,M,Adult
BEAR0320,20.93,79.07,0,2000,Early,West,77.85,69.58,-133.12,F,Adult
BEAR0191,39.54,53.5,6.96,2000,Early,West,80.95,70.53,-129.00,M,Subadult
BEAR0197,46.74,50.16,3.1,2000,Early,West,81.02,69.85,-122.63,M,Cub
BEAR0193,48.43,40.36,11.22,2000,Early,West,81.09,69.97,-131.49,M,Adult
BEAR0323,61.34,34.89,3.77,2000,Early,West,81.14,69.76,-133.86,M,Adult
BEAR0317,56.19,35.03,8.77,2000,Early,West,82.14,69.50,-133.03,M,Adult
BEAR0321,69.21,15.72,15.07,2000,Early,West,82.14,69.95,-131.45,M,Adult
BEAR0198,31.63,64.81,3.56,2000,Early,West,84.54,70.17,-125.08,M,Subadult
BEAR0187,31.05,33.9,35.04,2000,Early,West,85.93,70.30,-127.55,M,Adult
BEAR0192,10.96,89.04,0,2000,Early,West,86.39,69.85,-133.95,M,Subadult
BEAR0322,30.96,64.11,4.94,2000,Early,West,89.25,69.77,-132.33,F,Adult
BEAR0319,43.58,46.32,10.1,2000,Early,West,90.74,69.75,-133.00,M,Adult
BEAR0188,30.94,55.48,13.59,2000,Early,West,91.18,69.77,-132.23,M,Cub
BEAR0189,50.42,43.28,6.3,2000,Early,West,93.24,70.53,-127.93,M,Adult
BEAR0030,56.17,36.51,7.32,2002,Mid,West,71.83,69.95,-122.93,M,Cub
BEAR0012,28.09,71.91,0,2002,Mid,West,73.62,70.63,-128.23,M,Adult
BEAR0014,63.07,27.73,9.2,2002,Mid,West,77.08,69.98,-134.27,F,Adult
BEAR0005,82.06,9.01,8.94,2002,Mid,West,80.30,70.25,-131.10,F,Subadult
BEAR0006,56.66,43.33,0,2002,Mid,West,81.97,69.75,-132.30,M,Subadult
BEAR0011,40.12,48.68,11.19,2002,Mid,West,84.21,69.77,-135.47,F,Adult
BEAR0009,65.93,5.8,28.26,2002,Mid,West,85.07,70.72,-128.18,M,Adult
BEAR0015,45.03,52.76,2.2,2002,Mid,West,86.40,70.62,-128.00,F,Adult
BEAR0013,46.27,25.21,28.52,2002,Mid,West,90.73,70.63,-128.23,M,Adult
BEAR0008,74.44,13.6,11.97,2002,Mid,West,91.06,70.62,-128.30,M,Adult
BEAR0269,29.7,66.54,3.76,2003,Mid,West,58.14,70.65,-128.35,M,Subadult
BEAR0273,44.41,52.11,3.49,2003,Mid,West,73.04,69.91,-132.04,F,Adult
BEAR0268,91.31,0,8.69,2003,Mid,West,74.18,70.33,-130.50,M,Adult
BEAR0261,43.21,55.17,1.61,2003,Mid,West,78.76,69.57,-138.74,M,Adult
BEAR0270,27.7,72.3,0,2003,Mid,West,85.46,69.90,-132.48,F,Subadult
BEAR0260,31.77,68.23,0,2003,Mid,West,86.45,69.69,-133.37,F,Cub
BEAR0271,38.01,61.99,0,2003,Mid,West,88.73,69.65,-133.42,M,Adult
BEAR0406,40.65,54.44,4.91,2004,Mid,West,71.14,70.20,-127.07,M,Adult
BEAR0405,39.72,60.28,0,2004,Mid,West,78.80,69.93,-132.83,M,Adult
BEAR0407,57.43,36.31,6.26,2004,Mid,West,82.96,70.67,-128.17,M,Adult
BEAR0403,66.91,22.87,10.22,2004,Mid,West,86.30,70.10,-124.18,M,Adult
BEAR0345,36.73,61.24,2.04,2005,Mid,West,74.32,70.64,-128.32,M,Adult
BEAR0346,31.35,67,1.65,2005,Mid,West,77.02,70.09,-131.28,M,Adult
BEAR0303,69.85,19.17,10.98,2005,Mid,West,77.98,70.65,-128.40,M,Adult
BEAR0347,31.26,68.74,0,2005,Mid,West,79.38,69.79,-133.64,M,Adult
BEAR0348,40.71,57.73,1.57,2005,Mid,West,83.28,70.50,-128.14,F,Adult
BEAR0344,60.13,31.09,8.78,2005,Mid,West,93.83,70.13,-124.29,M,Adult
BEAR0093,44.9,51.14,3.97,2006,Mid,West,57.89,69.86,-132.92,M,Subadult
BEAR0092,59.15,31.13,9.72,2006,Mid,West,59.20,70.62,-128.46,M,Adult
BEAR0091,53.12,41.33,5.55,2006,Mid,West,59.46,69.96,-133.50,M,Adult
BEAR0257,55.32,40.74,3.94,2006,Mid,West,59.84,69.63,-135.76,F,Adult
BEAR0159,32.09,67.91,0,2006,Mid,West,64.63,69.52,-133.44,F,Adult
BEAR0099,53.93,41.89,4.19,2006,Mid,West,71.68,70.17,-134.25,M,Adult
BEAR0160,68.79,23.14,8.07,2006,Mid,West,73.53,69.80,-132.83,F,Subadult
BEAR0096,48.39,50.27,1.34,2006,Mid,West,75.78,70.51,-127.81,F,Adult
BEAR0094,36.5,61.34,2.16,2006,Mid,West,77.48,70.39,-127.29,F,Adult
BEAR0097,45.37,47.44,7.2,2006,Mid,West,78.01,70.42,-127.29,M,Cub
BEAR0161,71.97,26.88,1.16,2006,Mid,West,78.25,70.31,-126.98,F,Adult
BEAR0079,37.43,56.78,5.79,2006,Mid,West,78.49,69.92,-123.23,F,Adult
BEAR0098,24.67,74.37,0.96,2006,Mid,West,79.03,70.24,-130.81,F,Cub
BEAR0500,51.79,43.17,5.04,2006,Mid,West,80.49,70.51,-127.81,M,Cub
BEAR0095,25.27,74.73,0,2006,Mid,West,81.63,70.39,-127.28,F,Subadult
BEAR0100,56.72,36.46,6.82,2006,Mid,West,83.50,69.89,-134.77,F,Subadult
BEAR0502,39.72,58.39,1.88,2006,Mid,West,86.54,70.35,-127.32,F,Subadult
BEAR0080,43.55,46.48,9.96,2006,Mid,West,89.03,69.95,-123.29,M,Subadult
BEAR0499,31.47,68.53,0,2006,Mid,West,89.31,69.96,-132.14,F,Adult
BEAR0501,69.99,24.05,5.96,2006,Mid,West,94.04,70.52,-127.65,M,Subadult
BEAR0281,25.02,63.98,11,2007,Mid,West,62.07,69.89,-132.67,M,Subadult
BEAR0251,38.22,61.21,0.58,2007,Mid,West,62.93,70.59,-128.21,M,Adult
BEAR0540,80.3,12.62,7.09,2007,Mid,West,70.24,70.06,-126.83,M,Adult
BEAR0290,77.28,18.67,4.05,2007,Mid,West,70.74,70.41,-127.30,F,Adult
BEAR0252,22.7,76.9,0.4,2007,Mid,West,73.49,70.59,-128.21,M,Subadult
BEAR0539,52.76,39.98,7.26,2007,Mid,West,74.52,70.65,-128.09,F,Adult
BEAR0253,56,32.87,11.13,2007,Mid,West,74.67,70.59,-128.22,M,Adult
BEAR0254,51.7,43.23,5.07,2007,Mid,West,76.21,69.95,-132.53,F,Subadult
BEAR0255,28.45,66.79,4.75,2007,Mid,West,76.58,70.36,-127.37,M,Cub
BEAR0329,46.91,49.13,3.97,2007,Mid,West,77.73,69.79,-136.07,M,Subadult
BEAR0291,75.15,16.87,3.34,2007,Mid,West,79.66,69.99,-133.75,F,Adult
BEAR0288,18.48,81.52,0,2007,Mid,West,96.39,70.14,-132.30,M,Subadult
BEAR0206,68.19,23.08,8.73,2008,Late,West,64.78,70.16,-126.92,F,Cub
BEAR0374,66.86,8.86,24.29,2008,Late,West,69.10,70.15,-126.98,M,Adult
BEAR0375,23.48,76.44,0.08,2008,Late,West,76.90,70.15,-126.98,F,Subadult
BEAR0350,29.27,61.33,9.39,2008,Late,West,79.94,69.78,-133.93,F,Adult
BEAR0380,25.51,72.36,2.13,2008,Late,West,81.17,69.14,-137.77,M,Cub
BEAR0176,16.51,83.49,0,2008,Late,West,81.35,70.00,-126.64,M,Subadult
BEAR0175,60.98,37.2,1.83,2008,Late,West,82.17,70.23,-127.00,F,Adult
BEAR0177,21.82,78.18,0,2008,Late,West,84.34,69.75,-132.28,M,Subadult
BEAR0372,31.49,68.51,0,2008,Late,West,85.64,69.47,-130.86,M,Subadult
BEAR0371,23.04,72.49,4.48,2008,Late,West,90.99,69.71,-132.58,F,Subadult
BEAR0205,54.52,36.96,8.51,2008,Late,West,92.29,70.58,-127.48,M,Adult
BEAR0373,29.29,70.71,0,2008,Late,West,96.99,69.88,-133.84,M,Subadult
